#{"t_start": 1748654011.4573238, "env_id": "None"}
r,l,t
-50.0,1,2115.189777
-50.0,2,2121.986819
-44.0,2,2121.986924
-50.0,1,2123.940485
-38.0,2,2126.172003
-2.0,2,2128.695761
-50.0,1,2129.794061
-44.0,2,2129.794118
-47.0,2,2134.479386
15.0,3,2137.330847
-41.0,2,2138.482437
-50.0,1,2138.482511
-32.0,1,2141.022472
-41.0,2,2142.127272
-50.0,1,2142.127331
-50.0,1,2143.310308
-50.0,1,2143.310368
-32.0,1,2145.631429
-50.0,1,2146.779832
-38.0,2,2146.779891
-50.0,1,2149.251452
-47.0,2,2151.620114
-44.0,2,2153.760065
-50.0,1,2154.914255
-41.0,2,2154.914361
-50.0,1,2157.386976
-47.0,2,2159.221716
-2.0,2,2162.20098
-47.0,2,2164.334748
-50.0,1,2165.507079
-44.0,2,2165.507138
-32.0,1,2168.69999
-50.0,1,2170.052086
-47.0,2,2170.052164
-32.0,1,2172.828706
-44.0,2,2173.924523
-50.0,1,2173.924581
-32.0,1,2176.521965
-50.0,1,2177.672845
-44.0,2,2177.672902
-2.0,2,2182.137275
-8.0,2,2182.137337
-32.0,1,2183.939604
-50.0,1,2183.939662
-50.0,1,2185.080931
-50.0,1,2185.080996
-50.0,1,2186.86367
-32.0,1,2186.863735
-50.0,1,2189.278458
-44.0,2,2191.787283
-32.0,1,2193.450828
-47.0,2,2193.450886
-50.0,1,2196.581493
-50.0,2,2199.768054
-50.0,2,2202.183061
-47.0,2,2204.598922
-47.0,2,2206.664066
-35.0,1,2206.664124
-50.0,1,2208.787611
-41.0,2,2210.887059
-50.0,1,2211.994004
-44.0,2,2211.994062
-29.0,1,2214.62316
-47.0,2,2215.743541
-50.0,1,2215.743598
-47.0,2,2220.736364
-47.0,2,2220.736419
-50.0,1,2223.952303
-50.0,2,2225.099297
-50.0,1,2225.099355
-50.0,1,2226.290859
-50.0,1,2226.290916
-32.0,1,2229.073591
-44.0,2,2230.204411
-50.0,1,2230.204468
-5.0,2,2235.155161
-47.0,2,2235.155232
-38.0,2,2239.207275
-41.0,2,2239.207333
-32.0,1,2242.633636
-50.0,1,2243.865178
-50.0,2,2243.865243
-47.0,2,2248.950073
-47.0,2,2248.950132
-32.0,1,2252.032648
-50.0,1,2253.261933
-47.0,2,2253.26199
-32.0,1,2255.798798
-32.0,1,2255.798857
-50.0,1,2257.383523
-50.0,1,2257.383593
-50.0,1,2259.797879
-50.0,1,2259.79803
-50.0,1,2262.902482
-47.0,2,2264.74579
-35.0,2,2267.974893
-47.0,2,2270.611853
-47.0,2,2273.019804
-50.0,1,2274.228143
-47.0,2,2274.228204
-47.0,2,2279.826578
