#{"t_start": 1748716358.5233672, "env_id": "None"}
r,l,t
-100.0,1,4003.999078
-102.5,1,4003.999152
-100.0,1,4009.621547
-100.0,1,4009.621639
-100.0,1,4015.174471
-100.0,1,4015.174535
-100.0,1,4020.005708
-100.0,1,4020.00598
-100.0,1,4027.974693
-110.0,2,4033.031056
-100.0,1,4033.031119
-100.0,1,4038.009863
-100.0,1,4038.009927
-100.0,1,4047.103271
-100.0,1,4052.232598
-110.0,2,4052.232728
-100.0,1,4057.317245
-100.0,1,4057.317309
-100.0,1,4062.195372
-100.0,1,4062.195435
-100.0,1,4070.295874
-110.0,2,4078.802279
-110.0,2,4087.542961
-110.0,2,4092.682204
-100.0,1,4092.682311
-105.0,1,4100.555416
-100.0,1,4100.55548
-100.0,1,4108.807359
-110.0,2,4116.979896
-110.0,2,4124.863005
-110.0,2,4130.350671
-100.0,1,4130.350735
-110.0,2,4147.060269
-110.0,2,4147.060337
-110.0,2,4164.175403
-110.0,2,4164.175591
-100.0,1,4170.10121
-100.0,1,4170.101272
-100.0,1,4178.084826
-110.0,2,4185.750064
-110.0,2,4191.380446
-100.0,1,4191.380511
-100.0,1,4196.342578
-100.0,1,4196.342641
-100.0,1,4203.995816
-110.0,2,4210.131182
-102.5,1,4210.131245
-100.0,1,4215.304265
-100.0,1,4215.304335
-100.0,1,4221.31831
-100.0,1,4221.318369
-110.0,2,4238.427711
-110.0,2,4238.427785
-100.0,1,4247.257156
-110.0,2,4252.726698
-100.0,1,4252.726771
-105.0,1,4259.87906
-100.0,1,4259.879127
-100.0,1,4267.911465
-110.0,2,4276.822469
-100.0,1,4282.322003
-110.0,2,4282.322065
-100.0,1,4287.798487
-100.0,1,4287.798551
-100.0,1,4293.09313
-100.0,1,4293.09339
-102.5,1,4300.313864
-100.0,1,4300.313931
-100.0,1,4309.406738
-110.0,2,4314.477988
-100.0,1,4314.478079
-100.0,1,4319.296596
-100.0,1,4319.296662
-100.0,1,4324.410998
-100.0,1,4324.411111
-105.0,1,4332.119939
-100.0,1,4332.120003
-100.0,1,4341.252071
-100.0,1,4347.055914
-110.0,2,4347.055977
-100.0,1,4352.947783
-100.0,1,4352.947851
-100.0,1,4358.020766
-100.0,1,4358.020832
-100.0,1,4363.299047
-100.0,1,4363.299118
-102.5,1,4373.218256
-100.0,1,4378.461567
-110.0,2,4378.461648
-100.0,1,4386.779575
-110.0,2,4395.93801
-110.0,2,4401.099488
-100.0,1,4401.099646
-100.0,1,4409.756609
-100.0,1,4415.038488
-110.0,2,4415.038554
-100.0,1,4420.350052
-100.0,1,4420.350148
-110.0,2,4437.343724
-110.0,2,4437.34379
-100.0,1,4445.052427
-110.0,2,4451.042032
-100.0,1,4451.042087
-100.0,1,4456.466769
-100.0,1,4456.466902
-102.5,1,4461.893104
-100.0,1,4461.893163
-102.5,1,4469.518379
-110.0,2,4475.873466
-110.0,2,4481.885116
-105.0,1,4481.885203
-100.0,1,4488.123024
-100.0,1,4492.198786
-110.0,2,4492.198843
-100.0,1,4496.112671
-100.0,1,4496.11273
-100.0,1,4502.634428
-110.0,2,4509.402148
-110.0,2,4517.597538
-110.0,2,4521.666761
-100.0,1,4521.666817
-100.0,1,4525.551998
-100.0,1,4525.552058
-110.0,2,4539.044915
-110.0,2,4539.044973
-100.0,1,4542.869308
-100.0,1,4542.869371
-100.0,1,4549.521601
-110.0,2,4556.104957
-110.0,2,4562.604708
-100.0,1,4566.425776
-110.0,2,4566.425856
-102.5,1,4574.164653
-110.0,2,4578.071792
-100.0,1,4578.071854
-100.0,1,4581.941385
-100.0,1,4581.941444
-100.0,1,4588.569953
-110.0,2,4592.379529
-100.0,1,4592.379588
-100.0,1,4600.307824
-110.0,2,4608.784323
-110.0,2,4617.156917
-110.0,2,4621.860473
-100.0,1,4621.860565
-105.0,1,4629.459952
-100.0,1,4629.460013
-102.5,1,4635.903448
-100.0,1,4635.903511
-100.0,1,4641.428051
-100.0,1,4641.428119
-100.0,1,4648.140875
-102.5,1,4648.140935
-100.0,1,4656.430804
